Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
0.04%,CHD,CHURCH & DWIGHT CO INC,--,"$26,757.72 ",319
0.03%,WST,WEST PHARMACEUTICAL SERVICES,--,"$26,451.80 ",95
0.03%,DGX,QUEST DIAGNOSTICS INC,--,"$26,364.72 ",148
0.03%,STZ,CONSTELLATION BRANDS INC-A,--,"$26,271.63 ",187
0.03%,NI,NISOURCE INC,--,"$26,253.28 ",632
0.03%,KEY,KEYCORP,--,"$26,241.60 ","1,232"
0.03%,CHRW,C.H. ROBINSON WORLDWIDE INC,--,"$26,176.61 ",157
0.03%,HPQ,HP INC,--,"$26,130.51 ","1,239"
0.03%,KHC,KRAFT HEINZ CO/THE,--,"$25,978.29 ","1,129"
0.03%,AMCR,AMCOR PLC,--,"$25,695.60 ","3,059"
0.03%,SBAC,SBA COMMUNICATIONS CORP,--,"$25,580.22 ",141
0.03%,TYL,TYLER TECHNOLOGIES INC,--,"$25,549.11 ",57
0.03%,TRMB,TRIMBLE INC,--,"$25,336.88 ",316
0.03%,ALB,ALBEMARLE CORP,--,"$25,204.92 ",156
